age                             00000000085200001223
agree                           00000000000000000852
anti                            00000000957800000697
arm                             00000000305800001021
finger                          00000000407900001317
had                             00000000539600000550
leader                          00000000594600000448
local                           00000001027500001753
nick                            00000000207500000983
noun                            00000000639400001646
yellow                          00000000804000001538
